SKU;"Product Url";ID;Title;Content;Excerpt;Date;"Post Type";Media_images;Media_titles;Media_captions;Media_descriptions;Media_alts;Attachments_attachments
;;14;"Product #13 Variation";;;20150824;product;;;;;;
;;15;"Product #13 Variation";;;20150824;product;;;;;;
;;16;"Product #13 Variation";;;20150824;product;;;;;;
;;35;"Product #13 Variation";;;20150828;product;;;;;;
;;58;"Вариация #58 для Essente3690";;;20150829;product;;;;;;
101;;120;"Miratti E205 133";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/31-miratti-e205_133.gif;31-miratti-e205_133;;;;
102;;121;"Miratti 201701";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/32-miratti-201701.gif;32-miratti-201701;;;;
103;;122;"Miratti 910 28 906";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/33-miratti-910-28-906.gif;33-miratti-910-28-906;;;;
104;;123;"Miratti BA0130 1";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/34-miratti-BA0130_1.gif;34-miratti-BA0130_1;;;;
105;;124;"Miratti 18 F0031V 13X 370";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/35-miratti-18_F0031V_13X_370.gif;35-miratti-18_F0031V_13X_370;;;;
106;;125;"Miratti F61F1 1";"Сезон: лето

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/36-miratti-F61F1_1.gif;36-miratti-F61F1_1;;;;
107;;126;"Miratti 208803";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/37-miratti-208803.gif;37-miratti-208803;;;;
108;;127;"Miratti BA 01301J";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/38-miratti-BA_01301J.gif;38-miratti-BA_01301J;;;;
109;;128;"Miratti 205811 3";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/39-miratti-205811_3.gif;39-miratti-205811_3;;;;
110;;129;"Miratti 203105";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/40-miratti-203105.gif;40-miratti-203105;;;;
111;;130;"Miratti 56 894 1";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/41-miratti-56_894_1.gif;41-miratti-56_894_1;;;;
112;;131;"Miratti 206007 1";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/42-miratti-206007_1.gif;42-miratti-206007_1;;;;
113;;132;"Miratti 208105";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/43-miratti-208105.gif;43-miratti-208105;;;;
114;;133;"Miratti 1897";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/44-miratti-1897.gif;44-miratti-1897;;;;
115;;134;"Miratti BA0535 2у";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/45-miratti-BA0535_2y.gif;45-miratti-BA0535_2y;;;;
116;;135;"Miratti 08 16213GR";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: коричневый

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/46-miratti-08_16213GR.gif;46-miratti-08_16213GR;;;;
117;;136;"Miratti L321 2W88";"Сезон: осень/весна

Материал: замша

Страна: Италия

Цвет: коричневый

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/47-miratti-L321_2W88.gif;47-miratti-L321_2W88;;;;
118;;137;"Miratti 632002";"Сезон: осень/весна

Материал: нубук

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/48-miratti-632002.gif;48-miratti-632002;;;;
119;;138;"Miratti L299 2 D3 1";"Сезон: осень/весна

Материал: нубук

Страна: Италия

Цвет: коричневый

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/49-miratti-L299_2_D3_1.gif;49-miratti-L299_2_D3_1;;;;
120;;139;"Miratti 6021 3 1";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/50-miratti-6021_3_1.gif;50-miratti-6021_3_1;;;;
121;;140;"Miratti 201203";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/51-miratti-201203.gif;51-miratti-201203;;;;
122;;141;"Miratti 205161 5";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/52-miratti-205161_5.gif;52-miratti-205161_5;;;;
123;;142;"Miratti 206007 2";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/53-miratti-206007_2.gif;53-miratti-206007_2;;;;
124;;144;"Miratti 1895 5";"Сезон: осень/весна

Материал: кожа

Страна: Италия

Цвет: черный

&nbsp;";;20150905;product;http://menshoes.in.ua/wp-content/uploads/2015/08/54-miratti-1895_5.gif;54-miratti-1895_5;;;;
