Brand;Product;SKU;Price;Description1;Description2;Description3;Description4;Img_link;Category;Season;Color;Material;Country;Size
Marco Piero;033144032;2501;1450;Сезон: Лето;Материал: Нубук;Страна: Польша;Цвет: Коричневый;http://menshoes.in.ua/wp-content/uploads/291-marco-piero-033144032.jpg;Мокасины;Лето;Коричневый;Нубук;Польша;40|41|42|43|44|45
Marco Piero;033144117;2502;1450;Сезон: Лето;Материал: Нубук;Страна: Польша;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/292-marco-piero.jpg;Мокасины;Лето;Синий;Нубук;Польша;40|41|42|43|44|45
Kadar;2765945;1321;1395;Сезон: Лето;Материал: Нубук;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/293-kadar.jpg;Мокасины;Лето;Синий;Нубук;Украина;39|40|41|42|43|44
Kadar;2765047;1322;1395;Сезон: Лето;Материал: Кожа;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/295-kadar.jpg;Мокасины;Лето;Синий;Кожа;Украина;39|40|41|42|43|44
Kadar;2745192;1323;1292;Сезон: Лето;Материал: Кожа;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/296-kadar.jpg;Мокасины;Лето;Синий;Кожа;Украина;39|40|41|42|43|44
Marco Piero;032495339;2504;1395;Сезон: Лето;Материал: Нубук;Страна: Польша;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/297-marco-piero.jpg;Мокасины;Лето;Синий;Нубук;Польша;39|40|41|42|43|44
Marco Piero;0327792790;2505;1395;Сезон: Лето;Материал: Нубук;Страна: Польша;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/298-marco-piero.jpg;Мокасины;Лето;Черный;Нубук;Польша;40|41|42|43|44|45
Kadar;2478595;1324;1395;Сезон: Лето;Материал: Нубук;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/299-kadar.jpg;Мокасины;Лето;Синий;Нубук;Украина;39|40|41|42|43|44
Kadar;2244482;1325;1250;Сезон: Лето;Материал: Кожа;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/300-kadar.jpg;Мокасины;Лето;Синий;Кожа;Украина;39|40|41|42|43|44|45
Kadar;2064023;1326;1195;Сезон: Лето;Материал: Нубук;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/301-kadar.jpg;Мокасины;Лето;Синий;Нубук;Украина;40|41|42|43|44|45
Ikoc;1307-4;522;1200;Сезон: Лето;Материал: Кожа;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/303-ikoc.jpg;Мокасины;Лето;Синий;Кожа;Украина;40|41|42|43|44|45
Gri Sport;42805a18;407;1950;Сезон: Лето;Материал: Джинс;Страна: Италия;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/304-grisport.jpg;Мокасины;Лето;Синий;Джинс;Италия;41|42|43|44|45|46
Gri Sport;1310583;408;2150;Сезон: Лето;Материал: Джинс;Страна: Италия;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/305-grisport.jpg;Мокасины;Лето;Черный;Джинс;Италия;41|42|43|44
Gri Sport;13121а27;409;2150;Сезон: Лето;Материал: Джинс;Страна: Италия;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/306-grisport.jpg;Мокасины;Лето;Черный;Джинс;Италия;41|43|44
Ikoc;1336-5;523;1350;Сезон: Лето;Материал: Кожа;Страна: Украина;Цвет: Коричневый;http://menshoes.in.ua/wp-content/uploads/307-ikoc.jpg;Мокасины;Лето;Коричневый;Кожа;Украина;40|41|42|43|44
Ikoc;1336-4;524;1350;Сезон: Лето;Материал: Кожа;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/308-ikoc.jpg;Мокасины;Лето;Синий;Кожа;Украина;39|40|41|42|43|44|45
Marco Piero;032825014;2506;1350;Сезон: Лето;Материал: Кожа;Страна: Польша;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/309-ikoc.jpg;Мокасины;Лето;Синий;Кожа;Польша;41|42|43|44|45
