Brand;Product;SKU;Price;Description1;Description2;Description3;Description4;Img_link;Category;Season;Color;Material;Country;Size
Essente;4090-040-22-73;1001;1250;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/113-essente-4090-040-22-73.jpg;Ботинки;Осень/весна;Черный;Кожа;Украина;40|41|42|
Etor;10850;1101;2200;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/78-ETOR-10850.jpg;Ботинки;Осень/весна;Черный;Кожа;Турция;39|40|41|42|43|44|45|
Etor;11122;1102;1595;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/194-ETOR-11122.jpg;Туфли;Осень/весна;Черный;Кожа;Турция;39|43|45|
Etor;10784;1103;1595;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/195-ETOR-10784.jpg;Туфли;Осень/весна;Коричневый;Кожа;Турция;39|40|42|43|44|45|
Etor;6684;1104;1595;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/196-ETOR-6684.jpg;Туфли;Осень/весна;Черный;Кожа;Турция;42|45|
Etor;6454;1105;1595;Сезон: осень/весна;Материал: замша;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/197-ETOR-6454.jpg;Туфли;Осень/весна;Черный;Замша;Турция;45|
Etor;10807;1106;1595;Сезон: осень/весна;Материал: кожа;Страна: Турция;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/198-ETOR-10807.jpg;Туфли;Осень/весна;Черный;Кожа;Турция;39|40|41|42|43|44|
Falcon;2615r;1201;750;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/204-falcon-2615r.jpg;Туфли;Осень/весна;Черный;Кожа;Украина;36|
Falcon;2615с;1202;750;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/205-falcon-2615c.jpg;Туфли;Осень/весна;Синий;Кожа;Украина;36|37|
Kadar;22-191-70;1301;1100;Сезон: осень/весна;Материал: нубук;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/79-kadar-22-191-70.jpg;Ботинки;Осень/весна;Черный;Нубук;Украина;41|42|45|
Kadar;22-48-270;1302;1100;Сезон: осень/весна;Материал: нубук;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/80-kadar-22-48-270.jpg;Ботинки;Осень/весна;Черный;Нубук;Украина;40|41|42|43|45|
Kadar;2211193;1303;1200;Сезон: осень/весна;Материал: замша;Страна: Украина;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/83-kadar-2211193.jpg;Ботинки;Осень/весна;Коричневый;Замша;Украина;44|
Kadar;2242414;1304;1400;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/184-kadar-2242414.jpg;Туфли;Осень/весна;Черный;Кожа;Украина;41|42|43|
Kadar;217-42-70;1305;750;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/193-kadar-217-42-70.jpg;Туфли;Осень/весна;Черный;Кожа;Украина;41|42|44|
Miratti;EhA5162-1-gr;132;2250;Сезон: осень/весна;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/67-Miratti-EhA5162-1-gr.jpg;Ботинки;Осень/весна;Черный;Замша;Италия;39|42|43|44|45|
Miratti;605106-r;133;2250;Сезон: осень/весна;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/69-Miratti-605106-r.jpg;Ботинки;Осень/весна;Черный;Замша;Италия;39|40|41|44|45|
Miratti;605-105-1-R;134;2250;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/70-Miratti-605-105-1-R.jpg;Ботинки;Зима;Черный;Замша;Италия;39|44|
Miratti;02-2151-905-34;135;2250;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/73-Miratti-02-2151-905-34.jpg;Ботинки;Зима;Черный;Замша;Италия;41|44|45|
Miratti;L306R-1W56;136;2250;Сезон: зима;Материал: нубук;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/75-Miratti-L306R-1W56.jpg;Ботинки;Зима;Черный;Нубук;Италия;39|40|41|42|43|44|
Miratti;604702-r;137;2250;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/85-Miratti-604702-r.jpg;Ботинки;Зима;Черный;Кожа;Италия;40|42|43|44|45|
Miratti;604701-r;138;2250;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/86-Miratti-604701-r.jpg;Ботинки;Зима;Черный;Кожа;Италия;40|43|44|45|
Miratti;605-105R;139;2250;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/88-Miratti-605-105R.jpg;Ботинки;Зима;Черный;Кожа;Италия;45|
Miratti;605105;140;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/123-Miratti-605105.jpg;Ботинки;Зима;Черный;Замша;Италия;37|38|39|40|42|43|44|46|47|48|
Karat;305-k-1;1401;850;Сезон: осень/весна;Материал: замша;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/206-karat-305-k-1.jpg;Туфли;Осень/весна;Черный;Замша;Украина;40|41|43|
Miratti;605105-1-m;141;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/125-Miratti-605105-1-m.jpg;Ботинки;Зима;Черный;Замша;Италия;39|40|41|42|43|44|45|
Miratti;605-103-m-;142;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/126-Miratti-605-103-m.jpg;Ботинки;Зима;Черный;Замша;Италия;39|40|41|42|43|44|45|
Miratti;5162-1;143;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/129-Miratti-5162-1.jpg;Ботинки;Зима;Черный;Кожа;Италия;37|38|39|40|41|42|43|44|45|
Miratti;604 701;144;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/131-Miratti-604701.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|41|42|43|44|45|
Miratti;604 702;145;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/132-Miratti-604702.jpg;Ботинки;Зима;Черный;Кожа;Италия;40|41|42|43|44|45|
Miratti;eha5162gm;146;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/134-Miratti-eha5162gm.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|42|43|44|45|
Miratti;ema5156-M;147;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/136-Miratti-EMA5156-M.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|41|42|44|45|
Miratti;ЕМА5163;148;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/139-Miratti-ema5163.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|42|43|45|
Miratti;DF128-5-2;149;2550;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/141-Miratti-DF128-5-2.jpg;Ботинки;Зима;Коричневый;Кожа;Италия;39|40|41|42|44|45|
Miratti;2532-12-2m-;150;2250;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/143-Miratti-2532-12-2m-.jpg;Ботинки;Зима;Коричневый;Кожа;Италия;39|40|41|42|43|44|45|
Maxus;maxus;1501;750;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/203-maxus-maxus.jpg;Туфли;Осень/весна;Черный;Кожа;Украина;42|43|
Miratti;2528-10-1m;151;2250;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/144-Miratti-2528-10-1m.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|41|42|43|44|45|
Miratti;xd-3140-m;152;2250;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/146-Miratti-xd-3140-m.jpg;Ботинки;Зима;Черный;Кожа;Италия;40|41|42|43|44|45|
Miratti;H72-F24-1M;153;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/149-Miratti-H72-F24-1M.jpg;Ботинки;Зима;Черный;Замша;Италия;40|41|43|44|
Miratti;012-48-475;154;2550;Сезон: зима;Материал: нубук;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/150-Miratti-012-48-475.jpg;Ботинки;Зима;Черный;Нубук;Италия;39|40|41|42|43|44|45|
Miratti;306-m-1h14-m;155;2250;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/152-Miratti-306-m-1h14-m.jpg;Ботинки;Зима;Черный;Замша;Италия;39|40|41|42|44|
Miratti;000-1m-18-6;156;2250;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/155-Miratti-000-1m-18-6.jpg;Ботинки;Зима;Черный;Кожа;Италия;39|40|41|42|43|44|45|46|47|48|49|50|
Miratti;8 039 302;157;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/157-Miratti-8039302.jpg;Ботинки;Зима;Черный;Замша;Италия;39|40|44|
Miratti;С203A-55D-60-4;158;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/159-Miratti-c203A-55D-60-4.jpg;Ботинки;Зима;Черный;Замша;Италия;44|
Miratti;l-296-m-2w-88;159;2550;Сезон: зима;Материал: замша;Страна: Италия;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/161-Miratti-l-296-m-2w-88.jpg;Ботинки;Зима;Коричневый;Замша;Италия;39|40|41|
Miratti;K008K05H-E1;160;1950;Сезон: зима;Материал: кожа;Страна: Италия;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/163-Miratti-K008K05H-E1.jpg;Ботинки;Зима;Черный;Кожа;Италия;41|43|45|
Nord;7439b9991;1601;1700;Сезон: зима;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/91-nord-7439b9991.jpg;Ботинки;Зима;Черный;Кожа;Польша;42|
Nord;7831b9991;1602;2700;Сезон: осень/весна;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/115-nord-7831b9991.jpg;Ботинки;Осень/весна;Черный;Кожа;Польша;41|
Nord;7778b9991;1603;2700;Сезон: осень/весна;Материал: кожа;Страна: Польша;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/116-nord-7778b9991.jpg;Ботинки;Осень/весна;Черный;Кожа;Польша;41|45|
