Brand	Product	SKU	Price	Description1	Description2	Description3	Description4	Img_link	Category	Season	Color	Material	Country	Size
Ikoc	2024 7	502	1550	Сезон: осень/весна	Материал: кожа	Страна: Украина	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/6-ikoc-2024_7.gif	Туфли	Осень/весна	Черный	Кожа	Украина	40|41|42|43
Ikoc	2055 1	503	1550	Сезон: осень/весна	Материал: кожа	Страна: Украина	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/7-ikoc-2055_1.gif	Туфли	Осень/весна	Черный	Кожа	Украина	40|41|42|43|44|45
Ikoc	390 1	504	1550	Сезон: осень/весна	Материал: кожа	Страна: Украина	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/8-ikoc-390_1.gif	Туфли	Осень/весна	Черный	Кожа	Украина	40|41|42|43|44|45
Ikoc	300 1	501	1550	Сезон: осень/весна	Материал: кожа	Страна: Украина	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/10-ikoc-300.gif	Туфли	Осень/весна	Черный	Кожа	Украина	41|42|43
Pan	708	601	1650	Сезон: осень/весна	Материал: кожа	Страна: Польша	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/9-pan-708.gif	Туфли	Осень/весна	Черный	Кожа	Польша	40|41|41|42|42|43|43|44|45|45
Pan	697	602	1650	Сезон: осень/весна	Материал: кожа	Страна: Польша	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/11-pan-697.gif	Туфли	Осень/весна	Черный	Кожа	Польша	40|41|41|42|42|43|43|44|45|
Miratti	Е205 133	101	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/31-miratti-Е205_133.gif	Туфли	Осень/весна	Черный	Кожа	Италия	39|40|40|41|41|42|43|44|44|45
Miratti	201701	102	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/32-miratti-201701.gif	Туфли	Осень/весна	Черный	Кожа	Италия	39|39|40|42|42|43|44
Miratti	910 28 906	103	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/33-miratti-910_28_906.gif	Туфли	Осень/весна	Черный	Кожа	Италия	39|40|41|42|42|43|43|44
Miratti	ВА0130 1	104	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/34-miratti-ВА0130_1.gif	Туфли	Осень/весна	Черный	Кожа	Италия	39|40|41|42|43|43|44|45|45|45
Miratti	18 F0031V 13X 370	105	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/35-miratti-18_F0031V_13X_370.gif	Туфли	Осень/весна	Черный	Кожа	Италия	40|41|43|44|45|43|44
Miratti	F61F1 1	106	1595	Сезон: лето	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/36-miratti-F61F1_1.gif	Туфли	Лето	Черный	Замша	Италия	41|42|43|44
Miratti	208803	107	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/37-miratti-208803.gif	Туфли	Осень/весна	Черный	Замша	Италия	40|40|41|41|42|43|43|44|44|45
Miratti	BA 01301J	108	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/38-miratti-BA_01301J.gif	Туфли	Осень/весна	Черный	Замша	Италия	40|43|43|44|44|44|44
Miratti	205811 3	109	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/39-miratti-205811_3.gif	Туфли	Осень/весна	Черный	Кожа	Италия	40|41|43|44|45
Miratti	203105	110	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/40-miratti-203105.gif	Туфли	Осень/весна	Черный	Замша	Италия	43|44|45
Miratti	56 894 1	111	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/41-miratti-56_894_1.gif	Туфли	Осень/весна	Черный	Замша	Италия	39|40|41|41|42|42|43|43|44|44
Miratti	206007 1	112	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/42-miratti-206007_1.gif	Туфли	Осень/весна	Черный	Замша	Италия	40|41|43|44|44|45|45
Miratti	208105	113	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/43-miratti-208105.gif	Туфли	Осень/весна	Черный	Замша	Италия	39|40|42|42|43|43|44|45
Miratti	1897	114	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/44-miratti-1897.gif	Туфли	Осень/весна	Черный	Замша	Италия	40|41|42|43|44
Miratti	ВА0535 2у	115	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/45-miratti-ВА0535_2у.gif	Туфли	Осень/весна	Черный	Замша	Италия	44|44|44|44
Miratti	08 16213GR	116	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: коричневый	http://menshoes.in.ua/wp-content/uploads/2015/08/46-miratti-08_16213GR.gif	Туфли	Осень/весна	Коричневый	Кожа	Италия	40|40|42|42|45
Miratti	L321 2W88	117	1595	Сезон: осень/весна	Материал: замша	Страна: Италия	Цвет: коричневый	http://menshoes.in.ua/wp-content/uploads/2015/08/47-miratti-L321_2W88.gif	Туфли	Осень/весна	Коричневый	Замша	Италия	40|41|42|43|44
Miratti	632002	118	1595	Сезон: осень/весна	Материал: нобук	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/48-miratti-632002.gif	Туфли	Осень/весна	Черный	Нобук	Италия	45
Miratti	L299 2 D3 1	119	1595	Сезон: осень/весна	Материал: нобук	Страна: Италия	Цвет: коричневый	http://menshoes.in.ua/wp-content/uploads/2015/08/49-miratti-L299_2_D3_1.gif	Туфли	Осень/весна	Коричневый	Нобук	Италия	39|40|41|42|43|44|45
Miratti	6021 3 1	120	1295	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/50-miratti-6021_3_1.gif	Мокасины	Осень/весна	Черный	Кожа	Италия	40|41|43|45
Miratti	201203	121	1595	Сезон: осень/весна	Материал: кожа	Страна: Италия	Цвет: черный	http://menshoes.in.ua/wp-content/uploads/2015/08/51-miratti-201203.gif	Туфли	Осень/весна	Черный	Кожа	Италия	43|44|44
