Brand;Product;SKU;Price;Description1;Description2;Description3;Description4;Img_link;Category;Season;Color;Material;Country;Size
Kadar;2459261;1306;1350;Сезон: зима;Материал: нубук;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/208-kadar-2459261.gif;Мужская обувь;Зима;Черный;Нубук;Украина;40|41|42|43|44|45
Kadar;2226052;1307;1350;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/210-kadar-2226052.gif;Мужская обувь;Зима;Коричневый;Кожа;Украина;40|41|42|43|44
Kadar;2358052;1308;1350;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/212-kadar-2358052.gif;Мужская обувь;Зима;Коричневый;Кожа;Украина;40|41|42|43|44|45
Imara;0070101-1;1901;1195;Сезон: осень/весна;Материал: кожа;Страна: Испания;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/214-imara-0070101-1.gif;Мужская обувь;Осень/весна;Черный;Кожа;Испания;40|41|42|43
Imara;0070301-1;1902;1195;Сезон: осень/весна;Материал: кожа;Страна: Испания;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/215-imara-0070301-1.gif;Мужская обувь;Осень/весна;Черный;Кожа;Испания;40|41|42|43
Imara;0070201-1;1903;1195;Сезон: осень/весна;Материал: кожа;Страна: Испания;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/216-imara-0070201-1.gif;Мужская обувь;Осень/весна;Черный;Кожа;Испания;40|41|42|43
Tapi;5070;230;1750;Сезон: осень/весна;Материал: кожа;Страна: Польша;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/217-tapi-5070.gif;Мужская обувь;Осень/весна;Синий;Кожа;Польша;40|41|42|43|44|45
Ikoc;1127-1;509;1795;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/218-ikoc-1127-1.gif;Мужская обувь;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44|45
Kadar;2432371;1309;1250;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/220-kadar-2432371.gif;Мужская обувь;Осень/весна;Синий;Кожа;Украина;40|41|42|43|44|45
Ikoc;2528-1;510;1795;Сезон: осень/весна;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/221-ikoc-2528-1.gif;Мужская обувь;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44|45
Kadar;2459466;1310;1350;Сезон: зима;Материал: нубук;Страна: Украина;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/223-kadar-2459466.gif;Мужская обувь;Зима;Коричневый;Нубук;Украина;40|41|42|43|44|45
Kadar;1886933;1311;1350;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/225-kadar-1886933.gif;Мужская обувь;Зима;Черный;Кожа;Украина;42|43
Kadar;1886439;1312;1350;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/227-kadar-1886439.gif;Мужская обувь;Зима;Черный;Кожа;Украина;41|42|43
Devis;1565-11;810;1250;Сезон: осень/весна;Материал: нубук;Страна: Украина;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/229-devis-1565-11.gif;Мужская обувь;Осень/весна;Синий;Нубук;Украина;41|42|43
Kadar;2452235;1313;1350;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: коричневый;http://menshoes.in.ua/wp-content/uploads/230-kadar-2452235.gif;Мужская обувь;Зима;Коричневый;Кожа;Украина;40|41|42|43|44|45
Kadar;2452083;1314;1350;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/232-kadar-2452083.gif;Мужская обувь;Зима;Синий;Кожа;Украина;40|42|43|44|45
Kadar;2352414;1315;1350;Сезон: зима;Материал: кожа;Страна: Украина;Цвет: черный;http://menshoes.in.ua/wp-content/uploads/234-kadar-2352414.gif;Мужская обувь;Зима;Черный;Кожа;Украина;40|41|42|43|44|45
Nord;4832qz451;1606;2650;Сезон: осень/весна;Материал: кожа;Страна: Польша;Цвет: синий;http://menshoes.in.ua/wp-content/uploads/236-nord-4832qz451.gif;Мужская обувь;Осень/весна;Синий;Кожа;Польша;40|41|42|43|44|45
