Brand;Product;SKU;Price;Description1;Description2;Description3;Description4;Img_link;Category;Season;Color;Material;Country;Size
Gri Sport;42811D9;403;2150;Сезон: Осень/весна;Материал: Кожа;Страна: Италия;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/287-grisport-42811D9-40-46-2150.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Италия;40|41|42|43|44|45
Gri Sport;42813d9;404;2350;Сезон: Осень/весна;Материал: Кожа;Страна: Италия;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/282-grisport-42813d9-40-46-2350.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Италия;40|41|42|43|44|45
Ikoc;1118-1;519;2095;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/283-ikos-1118-1-40-45-2095.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44|45
Ikoc;2575-1;520;1999;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/284-ikos-2575-1-40-45-1999.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44|45
Ikoc;2579-5;521;1995;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/285-ikos-2579-5-40-45-1995.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44|45
Kadar;242617;1318;1550;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/286-kadar-2426176-40-45-1550.JPG;Мужская обувь;Осень/весна;Черный;Замша;Украина;40|41|42|43|44|45
Kadar;2452270;1319;1850;Сезон: Осень/весна;Материал: Нубук;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/288-kadar-2452270-40-45-1850.JPG;Мужская обувь;Осень/весна;Черный;Нубук;Украина;40|41|42|43|44|45
Kadar;2452414;1320;1850;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/289-kadar-2452414-40-45-1850.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44
Red Rock;12937n4g;312;1950;Сезон: Осень/весна;Материал: Нубук;Страна: Италия;Цвет: Коричневый;http://menshoes.in.ua/wp-content/uploads/290-redrock-12937n4g-41-45-1950.JPG;Мужская обувь;Осень/весна;Коричневый;Нубук;Италия;40|41|42|43|44|45
Davis;ds16918;813;1650;Сезон: Осень/весна;Материал: Кожа;Страна: Турция;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/278-davis-ds16918-40-45-1650.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Турция;40|41|42|43|44|45
Davis;ds39915;814;1650;Сезон: Осень/весна;Материал: Кожа;Страна: Турция;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/277-davis-ds39915-40-45-1650.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Турция;40|41|42|43|44|45
Davis;ds27348409;815;1650;Сезон: Осень/весна;Материал: Кожа;Страна: Турция;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/276-davis-ds27348409-40-45-1650.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Турция;40|41|42|43|44|45
Davis;ds157442419;816;1650;Сезон: Осень/весна;Материал: Нубук;Страна: Турция;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/279-davis-ds157442419-40-45-1650.JPG;Мужская обувь;Осень/весна;Черный;Нубук;Турция;40|41|42|43|44|45
Gri Sport;10005d103;405;2500;Сезон: Осень/весна;Материал: Кожа;Страна: Италия;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/280-grisport-10005d103-41-47-2500.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Италия;40|41|42|43|44|45
Gri Sport;41721ov18g;406;2350;Сезон: Осень/весна;Материал: Кожа;Страна: Италия;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/281-grisport-41721ov18g-40-46-2350.JPG;Мужская обувь;Осень/весна;Черный;Кожа;Италия;40|41|42|43|44|45
